G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.2374,0.576,0.113,0.42,-0.75775,0.2725
0.23085,0.576,0.145,0.41,-0.75774,0.366
0.238,0.578,0.113,0.41,-0.75772,0.4815
0.3337,0.576,0.08,0.44,-0.75771,0.4895
0.40425,0.572,0.177,0.45,-0.7577,0.3935
0.33535,0.574,0.097,0.43,-0.75769,0.2555
0.22595,0.578,0.177,0.41,-0.75768,0.229
0.2024,0.584,0.161,0.4,-0.75767,0.316
0.20305,0.592,0.129,0.42,-0.75765,0.4645
0.29075,0.596,0.161,0.41,-0.75764,0.5705
0.4216,0.594,0.209,0.39,-0.75763,0.587
0.49235,0.586,0.209,0.42,-0.75762,0.417
0.3535,0.588,0.097,0.41,-0.75761,0.484
0.3488,0.592,0.177,0.41,-0.75759,0.5025
0.42425,0.584,0.113,0.42,-0.75758,0.4945
0.3977,0.584,0.209,0.41,-0.75757,0.438
0.2568,0.584,0.161,0.42,-0.75756,0.465
